fn,game,true,pred_tv,s_tv,g_tv,pred_bil,s_bil,g_bil
PXL_20260614_150036169.jpg,pokemon,sv3pt5-86,sv3pt5-86,0.9191,0.1236,sv3pt5-86,0.9137,0.1094
PXL_20260614_150042218.jpg,pokemon,sv3pt5-74,sv3pt5-74,0.8996,0.0956,sv3pt5-74,0.8846,0.0861
PXL_20260614_150049650.jpg,pokemon,sv3pt5-58,sv3pt5-58,0.9219,0.0596,sv3pt5-58,0.9196,0.0574
PXL_20260614_150058376.jpg,pokemon,sv8pt5-77,sv8pt5-77,0.9043,0.1158,sv8pt5-77,0.9197,0.1211
PXL_20260614_150103783.jpg,pokemon,me2pt5-169,me2pt5-169,0.8921,0.0704,me2pt5-169,0.895,0.0683
PXL_20260614_150112135.jpg,pokemon,me2pt5-54,me2pt5-54,0.8951,0.0678,me2pt5-54,0.8951,0.0648
PXL_20260614_150120399.jpg,pokemon,me2pt5-117,me2pt5-117,0.9044,0.0514,me2pt5-117,0.905,0.0513
PXL_20260614_150127161.jpg,pokemon,me2pt5-65,me2pt5-65,0.9135,0.0062,me2pt5-65,0.9138,0.005
PXL_20260614_150132945.jpg,pokemon,me2pt5-166,me2pt5-166,0.9196,0.0926,me2pt5-166,0.9222,0.0896
PXL_20260614_150138550.jpg,pokemon,me2pt5-23,sv10-35,0.916,0.0006,sv10-35,0.9183,0.0008
PXL_20260614_150145533.jpg,pokemon,me1-18,me1-18,0.8882,0.0891,me1-18,0.8898,0.0978
PXL_20260614_150155416.jpg,pokemon,me1-110,me1-110,0.9192,0.0902,me1-110,0.923,0.0935
PXL_20260614_150204085.jpg,pokemon,me1-62,me1-62,0.9133,0.103,me1-62,0.9175,0.1124
PXL_20260614_150214067.jpg,pokemon,me1-12,me1-12,0.9083,0.073,me1-12,0.9082,0.0686
PXL_20260614_150220817.jpg,pokemon,me1-49,me1-49,0.927,0.0568,me1-49,0.929,0.0615
PXL_20260614_150229795.jpg,pokemon,me1-11,me1-11,0.9141,0.0864,me1-11,0.9091,0.0868
PXL_20260614_150236176.jpg,pokemon,rsv10pt5-69,rsv10pt5-69,0.9419,0.1218,rsv10pt5-69,0.9435,0.1207
PXL_20260614_150244788.jpg,pokemon,sv3-17,sv3-17,0.9137,0.0801,sv3-17,0.9079,0.0709
PXL_20260614_150251334.jpg,pokemon,sv3-76,sv3-76,0.9039,0.0885,sv3-76,0.9007,0.0987
PXL_20260614_150259142.jpg,pokemon,swsh12-130,swsh12-130,0.9343,0.0618,swsh12-130,0.9378,0.0655
PXL_20260614_150306972.jpg,pokemon,swsh12-141,swsh12-141,0.9396,0.08,swsh12-141,0.9363,0.0802
PXL_20260614_150313714.jpg,pokemon,sv1-6,sv1-6,0.9182,0.0732,sv1-6,0.9187,0.0782
PXL_20260614_150322569.jpg,pokemon,sv1-85,sv1-85,0.942,0.0009,sv1-85,0.9461,0.0006
PXL_20260614_150330244.jpg,pokemon,sv8-168,sv8-168,0.8696,0.1027,sv8-168,0.8676,0.111
PXL_20260614_150336380.jpg,pokemon,sv8pt5-71,me2pt5-158,0.93,0.0015,me2pt5-158,0.9292,0.0014
PXL_20260614_150341969.jpg,pokemon,sv3pt5-39,sv3pt5-39,0.9374,0.078,sv3pt5-39,0.9324,0.0728
PXL_20260614_150350811.jpg,pokemon,sv8pt5-68,sv8pt5-68,0.9112,0.0719,sv8pt5-68,0.9194,0.0738
PXL_20260614_150401176.jpg,pokemon,me2pt5-49,me2pt5-49,0.9134,0.0808,me2pt5-49,0.9147,0.0781
PXL_20260614_150408378.jpg,pokemon,me2pt5-52,me2pt5-52,0.8969,0.0722,me2pt5-52,0.8927,0.0612
PXL_20260614_151354527.jpg,yugioh,ygo-MP24-EN394-54851325,ygo-MP24-EN394-54851325,0.8743,0.0,ygo-MP24-EN394-54851325,0.8695,0.0
